text,label
책장 정리 미루기,wont
이사 계획 보류,wont
차 바꾸는 건 내년으로 미룸,wont
노트북 구매 보류,wont
아이패드 사는 건 나중에,wont
자격증 추가 취득은 당분간 안 함,wont
대학원 진학 보류,wont
이직 준비는 당분간 중단,wont
사이드 프로젝트 잠정 중단,wont
블로그 운영 그만하기,wont
SNS 당분간 끊기,wont
게임 접기로 함,wont
술 약속 거절하기,wont
회식 불참 통보,wont
주말 출근 안 하기로 함,wont
야근 줄이기로 결심,wont
충동구매 리스트 삭제,wont
장바구니 비우기 안 사기로 함,wont
중고 거래 판매 보류,wont
분양 알아보는 건 취소,wont
펫 입양은 아직 아닌 듯,wont
운전 연수 미루기,wont
다이어트 시작은 다음 주부터,wont
새벽 기상 챌린지 포기,wont
영양제 추가 구매 안 함,wont
멤버십 갱신 안 하기,wont
보험 추가 가입 보류,wont
주식 추가 매수 보류,wont
코인 투자 안 하기로 함,wont
계모임 나가기로 함,wont
학원 재등록 안 함,wont
과외 그만두기,wont
봉사활동 신청 취소,wont
공모전 참가 포기,wont
대외활동 지원 안 하기로 함,wont
발표 자원 안 하기,wont
프로젝트 추가 참여 거절,wont
초대 거절 정중하게,wont
소개팅 안 나가기로 함,wont
정기 모임 당분간 쉬기,wont
새 기기 구매는 보류,wont
구형 폰 계속 쓰기로 함,wont
케이블 정리함 사는 건 취소,wont
청소기 렌탈 해지,wont
정수기 렌탈 안 하기로 함,wont
잡지 정기구독 중단,wont
신문 구독 해지,wont
카페 멤버십 탈퇴,wont
포인트 앱 삭제 예정,wont
오후 3시까지 서류 제출 마감,must
내일 오전 9시 시험,must
금요일까지 견적서 무조건 발송,must
오늘 밤 12시 마감 지원서,must
5시까지 은행 가서 송금 처리,must
아침 8시 비행기 체크인,must
오후 2시 수술 전 금식,must
이번 주 금요일 발표 최종 리허설,must
오후 7시 미팅,should
저녁 8시 운동,should
내일 오전 10시 팀 회의,should
주말에 부모님 댁 방문,should
수요일 오후 치과 예약,should
퇴근 후 장보기,should
아침에 이력서 다듬기,should
점심시간에 산책 겸 은행 다녀오기,should
저녁에 강의 한 편 듣기,should
주말 오전 대청소,should
주말에 영화 한 편 보기,could
저녁에 책 읽기,could
일요일 오후 카페 가서 글쓰기,could
밤에 플레이리스트 정리,could
토요일 아침 드라이브,could
점심에 새로 생긴 식당 가보기,could
언젠가 오로라 보러 가기,could
시간 나면 사진 백업 정리,could
이번 주 회식은 불참하기로 함,wont
주말 모임 취소 연락,wont
저녁 약속 다음으로 미루기,wont
당분간 야식 끊기로 함,wont
이번 달 지출 늘리는 건 보류,wont
새 강의 결제는 나중에 생각,wont
면접,must
최종 면접,must
2차 면접,must
면접 준비,must
면접 예상 질문 정리,must
시험,must
기말고사,must
중간고사,must
자격증 시험,must
발표,must
최종 발표,must
과제 제출,must
서류 제출,must
세금 납부,must
원서 접수,must
마감 업무 처리,must
병원 수술,must
비행기 탑승,must
공부,should
운동,should
청소,should
장보기,should
빨래,should
병원 예약,should
회의 준비,should
스터디,should
과제 시작하기,should
독서 모임,should
부모님 전화,should
차량 점검,should
이메일 정리,should
백업,should
주간 계획 세우기,should
영어 공부,should
헬스,should
요리 준비,should
산책,could
독서,could
영화,could
게임,could
그림,could
드라이브,could
카페 가기,could
사진 찍기,could
음악 듣기,could
낮잠,could
쇼핑 구경,could
유튜브 보기,could
드라마 정주행,could
피크닉,could
맛집 가보기,could
전시 관람,could
취미 찾기,could
여행 알아보기,could
보류,wont
취소,wont
안 하기로 함,wont
나중에 하기,wont
포기,wont
그만두기,wont
구독 해지,wont
회원 탈퇴,wont
모임 취소,wont
약속 취소,wont
계획 취소,wont
등록 보류,wont
구매 보류,wont
참석 안 함,wont
신청 취소,wont
당분간 중단,wont
미루기,wont
쉬어가기,wont
게임하지 말기,wont
게임 끊기,wont
담배 끊기,wont
금연,wont
술 끊기,wont
금주,wont
야식 끊기,wont
군것질 끊기,wont
탄산음료 끊기,wont
배달음식 그만 시키기,wont
커피 줄이기,wont
늦잠 자지 않기,wont
밤샘 하지 않기,wont
충동구매 하지 않기,wont
